MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.004|-0.000|+0.000|+0.005|-0.000|+0.001|+0.000|+0.693|+0.693|+0.000|-0.004|+0.000|+0.689|+0.693|
002:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|+0.001|-0.000|-0.000|-0.001|-0.000|-0.000|-0.000|+0.689|+0.693|+0.000|+0.001|+0.000|+0.690|+0.693|
003:+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|+0.000|-0.000|+0.000|-0.000|+0.000|-0.000|+0.690|+0.693|+0.000|-0.001|-0.000|+0.689|+0.693|
004:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|-0.001|-0.000|-0.000|+0.002|+0.000|+0.001|-0.000|+0.690|+0.693|-0.000|-0.000|-0.000|+0.689|+0.693|
005:+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.001|-0.000|+0.000|-0.003|+0.000|-0.004|-0.000|+0.689|+0.693|-0.000|+0.002|+0.000|+0.690|+0.693|
006:+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.002|+0.000|-0.000|+0.002|-0.000|+0.001|+0.000|+0.688|+0.693|+0.000|-0.001|+0.000|+0.686|+0.693|
007:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|-0.001|+0.000|+0.000|+0.000|+0.000|-0.001|-0.000|+0.686|+0.693|-0.000|+0.001|-0.000|+0.687|+0.693|
008:+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.001|-0.000|+0.000|-0.001|-0.000|-0.000|-0.000|+0.685|+0.693|-0.000|+0.001|+0.000|+0.686|+0.693|
009:+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.002|-0.000|-0.000|+0.001|-0.000|+0.003|+0.000|+0.686|+0.693|+0.000|-0.001|-0.000|+0.685|+0.693|
010:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|-0.003|+0.000|-0.000|-0.002|+0.000|-0.005|-0.000|+0.688|+0.693|+0.000|-0.000|-0.000|+0.688|+0.693|
011:+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.002|-0.000|+0.000|+0.004|-0.000|+0.003|+0.000|+0.685|+0.693|-0.000|-0.002|+0.000|+0.683|+0.693|
012:+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.001|+0.000|-0.000|-0.001|-0.000|-0.002|+0.000|+0.683|+0.693|+0.000|+0.003|+0.000|+0.686|+0.693|
013:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|+0.001|-0.000|+0.000|-0.002|+0.000|-0.001|-0.000|+0.683|+0.693|+0.000|+0.001|-0.000|+0.684|+0.693|
