MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.460|+0.000|+0.112|+0.112|+0.000|+0.000|-0.018|+0.000|+0.000|+0.000|+0.000|+0.000|+0.018|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
002:+0.460|+0.000|+0.112|+0.112|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.018|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
003:+0.460|+0.000|+0.112|+0.130|+0.000|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.018|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
004:+0.478|+0.000|+0.112|+0.112|+0.000|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.018|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
005:+0.478|+0.000|+0.112|+0.094|+0.000|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.036|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
006:+0.460|+0.000|+0.130|+0.112|+0.000|+0.000|+0.018|+0.000|+0.000|+0.000|+0.000|+0.000|-0.036|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
007:+0.442|+0.000|+0.112|+0.148|-0.000|+0.000|-0.018|+0.000|+0.000|+0.000|+0.000|+0.000|-0.036|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
008:+0.478|+0.000|+0.094|+0.112|-0.000|+0.000|-0.018|+0.000|+0.000|+0.000|+0.000|+0.000|+0.036|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
009:+0.496|+0.000|+0.112|+0.076|-0.000|+0.000|+0.018|+0.000|+0.000|+0.000|+0.000|+0.000|+0.054|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
010:+0.460|+0.000|+0.148|+0.112|-0.000|+0.000|+0.036|+0.000|+0.000|+0.000|+0.000|+0.000|-0.054|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
011:+0.424|+0.000|+0.112|+0.166|-0.000|+0.000|-0.036|+0.000|+0.000|+0.000|+0.000|+0.000|-0.054|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
012:+0.478|+0.000|+0.076|+0.112|-0.000|+0.000|-0.036|+0.000|+0.000|+0.000|+0.000|+0.000|+0.054|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
013:+0.514|+0.000|+0.112|+0.058|-0.000|+0.000|+0.036|+0.000|+0.000|+0.000|+0.000|+0.000|+0.072|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
014:+0.460|+0.000|+0.166|+0.112|-0.000|+0.000|+0.054|+0.000|+0.000|+0.000|+0.000|+0.000|-0.072|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
015:+0.406|+0.000|+0.112|+0.184|+0.000|+0.000|-0.054|+0.000|+0.000|+0.000|+0.000|+0.000|-0.072|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
016:+0.478|+0.000|+0.058|+0.112|+0.000|+0.000|-0.054|+0.000|+0.000|+0.000|+0.000|+0.000|+0.072|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
017:+0.532|+0.000|+0.112|+0.040|+0.000|+0.000|+0.054|+0.000|+0.000|+0.000|+0.000|+0.000|+0.090|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
018:+0.460|+0.000|+0.184|+0.112|+0.000|+0.000|+0.072|+0.000|+0.000|+0.000|+0.000|+0.000|-0.090|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
019:+0.389|+0.000|+0.112|+0.202|-0.000|+0.000|-0.072|+0.000|+0.000|+0.000|+0.000|+0.000|-0.090|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
020:+0.479|+0.000|+0.040|+0.112|-0.000|+0.000|-0.072|+0.000|+0.000|+0.000|+0.000|+0.000|+0.090|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
021:+0.551|+0.000|+0.112|+0.022|-0.000|+0.000|+0.072|+0.000|+0.000|+0.000|+0.000|+0.000|+0.108|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
022:+0.461|+0.000|+0.202|+0.112|-0.000|+0.000|+0.090|+0.000|+0.000|+0.000|+0.000|+0.000|-0.108|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
023:+0.371|+0.000|+0.112|+0.220|-0.000|+0.000|-0.090|+0.000|+0.000|+0.000|+0.000|+0.000|-0.108|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
024:+0.479|+0.000|+0.022|+0.112|-0.000|+0.000|-0.090|+0.000|+0.000|+0.000|+0.000|+0.000|+0.108|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
025:+0.569|+0.000|+0.112|+0.004|-0.000|+0.000|+0.090|+0.000|+0.000|+0.000|+0.000|+0.000|+0.126|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
026:+0.461|+0.000|+0.220|+0.112|-0.000|+0.000|+0.108|+0.000|+0.000|+0.000|+0.000|+0.000|-0.126|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
027:+0.353|+0.000|+0.111|+0.238|-0.000|+0.000|-0.108|+0.000|+0.000|+0.000|+0.000|+0.000|-0.126|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
028:+0.479|+0.000|+0.003|+0.112|-0.000|+0.000|-0.108|+0.000|+0.000|+0.000|+0.000|+0.000|+0.126|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
